date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:41	6753/6753	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Nov%202016%2010:46:34%20GMT	https://static.tuasaude.com/media/article/9t/f3/remedio-caseiro-para-azia_13387_xs.jpg	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/media/article/9t/f3/remedio-caseiro-para-azia_13387_xs.jpg	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:41	7035/7035	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Feb%202018%2016:38:05%20GMT	https://static.tuasaude.com/media/article/zx/df/cha-para-emagrecer_27804_xs.jpg	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/media/article/zx/df/cha-para-emagrecer_27804_xs.jpg	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:42	5330/5330	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Mar%202020%2015:22:00%20GMT	https://static.tuasaude.com/img/newsletter-themes/anxiety.png	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/img/newsletter-themes/anxiety.png	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:42	3218/3218	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Mar%202020%2015:22:00%20GMT	https://static.tuasaude.com/img/newsletter-themes/sleep-disorders.png	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/img/newsletter-themes/sleep-disorders.png	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:42	4010/4010	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Mar%202020%2015:22:00%20GMT	https://static.tuasaude.com/img/newsletter-themes/get-lean.png	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/img/newsletter-themes/get-lean.png	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:42	3631/3631	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Mar%202020%2015:22:00%20GMT	https://static.tuasaude.com/img/newsletter-themes/fitness.png	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/img/newsletter-themes/fitness.png	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:42	4440/4440	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Mar%202020%2015:22:00%20GMT	https://static.tuasaude.com/img/newsletter-themes/pregnancy.png	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/img/newsletter-themes/pregnancy.png	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:43	5149/5149	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Mar%202020%2015:22:00%20GMT	https://static.tuasaude.com/img/newsletter-themes/healthy-recipes.png	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/img/newsletter-themes/healthy-recipes.png	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:43	3440/3440	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Mar%202020%2015:22:00%20GMT	https://static.tuasaude.com/img/newsletter-themes/woman-health.png	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/img/newsletter-themes/woman-health.png	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:43	3185/3185	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Mar%202020%2015:22:00%20GMT	https://static.tuasaude.com/img/newsletter-themes/men-health.png	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/img/newsletter-themes/men-health.png	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:43	2810/2810	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Apr%202020%2015:29:16%20GMT	https://static.tuasaude.com/img/ok-round.png	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/img/ok-round.png	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:43	1147/1147	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Jun%202019%2014:37:45%20GMT	https://static.tuasaude.com/img/logo-footer.png	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/img/logo-footer.png	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:45	1936/1936	---M--	200	added ('OK')	image/gif	etag:%225d61b0c6-790%22	https://www.honcode.ch/HONcode/Seal/HONConduct132876_s1.gif	C:/Users/kaioc/Documents/Logos/PJ02/www.honcode.ch/HONcode/Seal/HONConduct132876_s1.gif	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:45	214972/214972	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2015%20Dec%202020%2010:38:35%20GMT	https://static.tuasaude.com/assets/ts-0734.js	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/assets/ts-0734.js	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:45	2545/2545	---M--	200	added ('OK')	image/gif	date:Fri,%2007%20Jun%202019%2014:37:44%20GMT	https://static.tuasaude.com/img/loader.gif	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/img/loader.gif	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:45	1116/1116	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Nov%202019%2011:13:50%20GMT	https://static.tuasaude.com/img/check-blue.png	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/img/check-blue.png	(from https://static.tuasaude.com/assets/ts-0734.css)
15:11:45	1082/1082	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Nov%202019%2011:13:50%20GMT	https://static.tuasaude.com/img/check-white.png	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/img/check-white.png	(from https://static.tuasaude.com/assets/ts-0734.css)
15:11:46	1488/1488	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Jun%202019%2014:37:45%20GMT	https://static.tuasaude.com/img/quote.png	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/img/quote.png	(from https://static.tuasaude.com/assets/ts-0734.css)
15:11:46	128/128	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Jun%202019%2014:37:44%20GMT	https://static.tuasaude.com/img/message/x.png	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/img/message/x.png	(from https://static.tuasaude.com/assets/ts-0734.css)
15:11:46	6244/6244	---M--	200	added ('OK')	image/gif	date:Fri,%2007%20Jun%202019%2014:37:44%20GMT	https://static.tuasaude.com/img/colorbox/loading.gif	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/img/colorbox/loading.gif	(from https://static.tuasaude.com/assets/ts-0734.css)
15:11:46	7325/7325	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202019%2012:22:30%20GMT	https://static.tuasaude.com/img/message/fernanda.png	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/img/message/fernanda.png	(from https://static.tuasaude.com/assets/ts-0734.css)
15:11:46	1633/1633	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Jun%202019%2014:37:44%20GMT	https://static.tuasaude.com/img/colorbox/controls.png	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/img/colorbox/controls.png	(from https://static.tuasaude.com/assets/ts-0734.css)
